id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,bentuk_kekerasan,jumlah_korban,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,FISIK,1,ORANG,2017
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,PSIKIS,0,ORANG,2017
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,SEKSUAL,0,ORANG,2017
4,32,JAWA BARAT,3201,KABUPATEN BOGOR,EKSPLOITASI,0,ORANG,2017
5,32,JAWA BARAT,3201,KABUPATEN BOGOR,TRAFFICKING,0,ORANG,2017
6,32,JAWA BARAT,3201,KABUPATEN BOGOR,PENELANTARAN,0,ORANG,2017
7,32,JAWA BARAT,3201,KABUPATEN BOGOR,LAINNYA,0,ORANG,2017
8,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,FISIK,2,ORANG,2017
9,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PSIKIS,1,ORANG,2017
10,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SEKSUAL,1,ORANG,2017
11,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,EKSPLOITASI,0,ORANG,2017
12,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TRAFFICKING,0,ORANG,2017
13,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,PENELANTARAN,1,ORANG,2017
14,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,LAINNYA,0,ORANG,2017
15,32,JAWA BARAT,3203,KABUPATEN CIANJUR,FISIK,1,ORANG,2017
16,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PSIKIS,0,ORANG,2017
17,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SEKSUAL,1,ORANG,2017
18,32,JAWA BARAT,3203,KABUPATEN CIANJUR,EKSPLOITASI,0,ORANG,2017
19,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TRAFFICKING,0,ORANG,2017
20,32,JAWA BARAT,3203,KABUPATEN CIANJUR,PENELANTARAN,0,ORANG,2017
21,32,JAWA BARAT,3203,KABUPATEN CIANJUR,LAINNYA,0,ORANG,2017
22,32,JAWA BARAT,3204,KABUPATEN BANDUNG,FISIK,32,ORANG,2017
23,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PSIKIS,14,ORANG,2017
24,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SEKSUAL,51,ORANG,2017
25,32,JAWA BARAT,3204,KABUPATEN BANDUNG,EKSPLOITASI,3,ORANG,2017
26,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TRAFFICKING,8,ORANG,2017
27,32,JAWA BARAT,3204,KABUPATEN BANDUNG,PENELANTARAN,12,ORANG,2017
28,32,JAWA BARAT,3204,KABUPATEN BANDUNG,LAINNYA,3,ORANG,2017
29,32,JAWA BARAT,3205,KABUPATEN GARUT,FISIK,1,ORANG,2017
30,32,JAWA BARAT,3205,KABUPATEN GARUT,PSIKIS,0,ORANG,2017
31,32,JAWA BARAT,3205,KABUPATEN GARUT,SEKSUAL,11,ORANG,2017
32,32,JAWA BARAT,3205,KABUPATEN GARUT,EKSPLOITASI,0,ORANG,2017
33,32,JAWA BARAT,3205,KABUPATEN GARUT,TRAFFICKING,0,ORANG,2017
34,32,JAWA BARAT,3205,KABUPATEN GARUT,PENELANTARAN,1,ORANG,2017
35,32,JAWA BARAT,3205,KABUPATEN GARUT,LAINNYA,0,ORANG,2017
36,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,FISIK,8,ORANG,2017
37,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PSIKIS,4,ORANG,2017
38,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SEKSUAL,42,ORANG,2017
39,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,EKSPLOITASI,0,ORANG,2017
40,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TRAFFICKING,5,ORANG,2017
41,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,PENELANTARAN,11,ORANG,2017
42,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,LAINNYA,3,ORANG,2017
43,32,JAWA BARAT,3207,KABUPATEN CIAMIS,FISIK,6,ORANG,2017
44,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PSIKIS,1,ORANG,2017
45,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SEKSUAL,18,ORANG,2017
46,32,JAWA BARAT,3207,KABUPATEN CIAMIS,EKSPLOITASI,0,ORANG,2017
47,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TRAFFICKING,0,ORANG,2017
48,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PENELANTARAN,0,ORANG,2017
49,32,JAWA BARAT,3207,KABUPATEN CIAMIS,LAINNYA,3,ORANG,2017
50,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,FISIK,0,ORANG,2017
51,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PSIKIS,1,ORANG,2017
52,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SEKSUAL,3,ORANG,2017
53,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,EKSPLOITASI,0,ORANG,2017
54,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TRAFFICKING,0,ORANG,2017
55,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PENELANTARAN,1,ORANG,2017
56,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,LAINNYA,0,ORANG,2017
57,32,JAWA BARAT,3209,KABUPATEN CIREBON,FISIK,0,ORANG,2017
58,32,JAWA BARAT,3209,KABUPATEN CIREBON,PSIKIS,0,ORANG,2017
59,32,JAWA BARAT,3209,KABUPATEN CIREBON,SEKSUAL,6,ORANG,2017
60,32,JAWA BARAT,3209,KABUPATEN CIREBON,EKSPLOITASI,0,ORANG,2017
61,32,JAWA BARAT,3209,KABUPATEN CIREBON,TRAFFICKING,0,ORANG,2017
62,32,JAWA BARAT,3209,KABUPATEN CIREBON,PENELANTARAN,0,ORANG,2017
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,LAINNYA,0,ORANG,2017
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,FISIK,1,ORANG,2017
65,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PSIKIS,0,ORANG,2017
66,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SEKSUAL,2,ORANG,2017
67,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,EKSPLOITASI,0,ORANG,2017
68,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TRAFFICKING,0,ORANG,2017
69,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PENELANTARAN,0,ORANG,2017
70,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,LAINNYA,0,ORANG,2017
71,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,FISIK,9,ORANG,2017
72,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,PSIKIS,1,ORANG,2017
73,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SEKSUAL,10,ORANG,2017
